Copyright (C) 2021  Intel Corporation. All rights reserved.
Your use of Intel Corporation's design tools, logic functions 
and other software and tools, and any partner logic 
functions, and any output files from any of the foregoing 
(including device programming or simulation files), and any 
associated documentation or information are expressly subject 
to the terms and conditions of the Intel Program License 
Subscription Agreement, the Intel Quartus Prime License Agreement,
the Intel FPGA IP License Agreement, or other applicable license
agreement, including, without limitation, that your use is for
the sole purpose of programming logic devices manufactured by
Intel and sold by Intel or its authorized distributors.  Please
refer to the applicable agreement for further details, at
https://fpgasoftware.intel.com/eula.

Analysis & Synthesis Resource Utilization by Entity

Compilation Hierarchy Node,Combinational ALUTs,Dedicated Logic Registers,Block Memory Bits,DSP Blocks,Pins,Virtual Pins,Full Hierarchy Name,Entity Name,Library Name
|ghrd_top,17631 (35),2930 (27),526336,0,368,0,|ghrd_top,ghrd_top,work
   |debounce:debounce_inst|,96 (96),64 (64),0,0,0,0,|ghrd_top|debounce:debounce_inst,debounce,work
   |hps_reset:hps_reset_inst|,25 (0),21 (0),0,0,0,0,|ghrd_top|hps_reset:hps_reset_inst,hps_reset,work
      |altsource_probe:altsource_probe_component|,25 (0),21 (0),0,0,0,0,|ghrd_top|hps_reset:hps_reset_inst|altsource_probe:altsource_probe_component,altsource_probe,work
         |altsource_probe_body:altsource_probe_body_inst|,25 (3),21 (0),0,0,0,0,|ghrd_top|hps_reset:hps_reset_inst|altsource_probe:altsource_probe_component|altsource_probe_body:altsource_probe_body_inst,altsource_probe_body,work
            |altsource_probe_impl:\wider_source_gen:wider_source_inst|,22 (9),21 (13),0,0,0,0,|ghrd_top|hps_reset:hps_reset_inst|altsource_probe:altsource_probe_component|altsource_probe_body:altsource_probe_body_inst|altsource_probe_impl:\wider_source_gen:wider_source_inst,altsource_probe_impl,work
               |sld_rom_sr:\instance_id_gen:rom_info_inst|,13 (13),8 (8),0,0,0,0,|ghrd_top|hps_reset:hps_reset_inst|altsource_probe:altsource_probe_component|altsource_probe_body:altsource_probe_body_inst|altsource_probe_impl:\wider_source_gen:wider_source_inst|sld_rom_sr:\instance_id_gen:rom_info_inst,sld_rom_sr,work
   |sld_hub:auto_hub|,153 (1),104 (0),0,0,0,0,|ghrd_top|sld_hub:auto_hub,sld_hub,altera_sld
      |alt_sld_fab_with_jtag_input:\instrumentation_fabric_with_node_gen:fabric_gen_new_way:with_jtag_input_gen:instrumentation_fabric|,152 (0),104 (0),0,0,0,0,|ghrd_top|sld_hub:auto_hub|alt_sld_fab_with_jtag_input:\instrumentation_fabric_with_node_gen:fabric_gen_new_way:with_jtag_input_gen:instrumentation_fabric,alt_sld_fab_with_jtag_input,altera_sld
         |alt_sld_fab:instrumentation_fabric|,152 (0),104 (0),0,0,0,0,|ghrd_top|sld_hub:auto_hub|alt_sld_fab_with_jtag_input:\instrumentation_fabric_with_node_gen:fabric_gen_new_way:with_jtag_input_gen:instrumentation_fabric|alt_sld_fab:instrumentation_fabric,alt_sld_fab,alt_sld_fab
